"row","col","code","name","code_edo"
1,1,"BC","Baja California","02"
1,2,"SON","Sonora","26"
1,3,"CHIH","Chihuahua","08"
1,4,"COAH","Coahuila","05"
1,5,"NL","Nuevo León","19"
1,6,"TAM","Tamaulipas","28"
2,1,"BCS","Baja California Sur","03"
2,3,"SIN","Sinaloa","25"
2,4,"DGO","Durango","10"
2,5,"ZAC","Zacatecas","32"
2,6,"SLP","San Luis Potosí","24"
3,4,"NAY","Nayarit","18"
3,5,"AGS","Aguascalientes","01"
3,6,"GTO","Guanajuato","11"
3,7,"HGO","Hidalgo","13"
4,4,"COL","Colima","06"
4,5,"JAL","Jalisco","14"
4,6,"QRO","Querétaro","22"
4,7,"CDMX","Ciudad de México","09"
4,8,"PUE","Puebla","21"
4,11,"YUC","Yucatan","31"
4,12,"QROO","Quintana Roo","23"
5,5,"MICH","Michoacán","16"
5,6,"MEX","Estado de México","15"
5,7,"MOR","Morelos","17"
5,8,"TLAX","Tlaxcala","29"
5,9,"VER","Veracruz","30"
5,10,"TAB","Tabasco","27"
5,11,"CAMP","Campeche","04"
6,7,"GRO","Guerrero","12"
6,8,"OAX","Oaxaca","20"
6,9,"CHPS","Chiapas","07"
